"Long-term changes in bird populations by species group from 1970 to 2022, Canada",,,
"Note: Data for shorebirds are only available beginning in 1980. This analysis is based on 331 species that are representative of their ecological group and for which adequate monitoring data were available. Of the 331 species, 193 species are included in more than 1 species group based on their feeding or habitat requirements. For example, species grouped in the aerial insectivores feeding behaviour category may also be included in the forest birds group.",,,
Olive-sided Flycatcher,Decreasing,Yes,Forest birds
Olive-sided Flycatcher,Decreasing,Yes,Long-distance migrants
Olive-sided Flycatcher,Decreasing,Yes,Aerial insectivores
Orange-crowned Warbler,Increasing,Yes,Forest birds
Orchard oriole,Increasing,Yes,Long-distance migrants
Osprey,Increasing,No,Birds of prey
Osprey,Increasing,No,Long-distance migrants
Ovenbird,Stable,Yes,Long-distance migrants
Ovenbird,Stable,Yes,Forest birds
Pacific golden-plover,Data deficient,Yes,Shorebirds
Pacific golden-plover,Data deficient,Yes,Long-distance migrants
Pacific golden-plover,Data deficient,Yes,Arctic birds
Pacific loon,Stable,Yes,Marine birds
Pacific loon,Stable,Yes,Arctic birds
Pacific Wren,Stable,Yes,Forest birds
Parasitic jaeger,Data deficient,Yes,Long-distance migrants
Parasitic jaeger,Data deficient,Yes,Arctic birds
Parasitic jaeger,Data deficient,Yes,Marine birds
Pectoral sandpiper,Decreasing,Yes,Shorebirds
Pectoral sandpiper,Decreasing,Yes,Long-distance migrants
Pectoral sandpiper,Decreasing,Yes,Arctic birds
Pelagic cormorant,Decreasing,No,Marine birds
Peregrine falcon,Increasing,No,Birds of prey
Peregrine falcon,Increasing,No,Arctic birds
Philadelphia vireo,Increasing,Yes,Long-distance migrants
Philadelphia vireo,Increasing,Yes,Forest birds
Pied-billed grebe,Stable,Yes,Wetland birds
Pigeon guillemot,Decreasing,Yes,Marine birds
Pileated Woodpecker,Increasing,Yes,Forest birds
Pine Grosbeak,Increasing,Yes,Forest birds
Pine Siskin,Decreasing,Yes,Forest birds
Pine warbler,Increasing,Yes,Forest birds
Pink-footed shearwater,Data deficient,Yes,Marine birds
Piping plover,Decreasing,Yes,Shorebirds
Pomarine jaeger,Data deficient,Yes,Marine birds
Pomarine jaeger,Data deficient,Yes,Arctic birds
Pomarine jaeger,Data deficient,Yes,Long-distance migrants
Prairie falcon,Stable,No,Grassland birds
Prairie falcon,Stable,No,Birds of prey
Prothonotary warbler,Decreasing,Yes,Forest birds
Prothonotary warbler,Decreasing,Yes,Long-distance migrants
Purple finch,Decreasing,Yes,Forest birds
Purple martin,Increasing,Yes,Aerial insectivores
Purple martin,Increasing,Yes,Long-distance migrants
Purple sandpiper,Decreasing,Yes,Arctic birds
Purple sandpiper,Decreasing,Yes,Shorebirds
Pygmy nuthatch,Stable,Yes,Forest birds
Razorbill,Increasing,Yes,Marine birds
Red Crossbill,Stable,Yes,Forest birds
Red knot,Data deficient,Yes,Arctic birds
Red knot,Data deficient,Yes,Shorebirds
Red phalarope,Data deficient,Yes,Marine birds
Red phalarope,Data deficient,Yes,Shorebirds
Red phalarope,Data deficient,Yes,Arctic birds
Red phalarope,Data deficient,Yes,Long-distance migrants
Red-breasted merganser,Stable,Yes,Waterfowl
Red-breasted merganser,Stable,Yes,Marine birds
Red-breasted Nuthatch,Increasing,Yes,Forest birds
Red-breasted Sapsucker,Increasing,Yes,Forest birds
Red-eyed vireo,Increasing,Yes,Forest birds
Red-eyed vireo,Increasing,Yes,Long-distance migrants
Red-headed woodpecker,Stable,Yes,Forest birds
Red-naped sapsucker,Increasing,Yes,Forest birds
Red-necked grebe,Increasing,Yes,Marine birds
Red-necked grebe,Increasing,Yes,Wetland birds
Red-necked phalarope,Data deficient,Yes,Long-distance migrants
Red-necked phalarope,Data deficient,Yes,Arctic birds
Red-necked phalarope,Data deficient,Yes,Shorebirds
Red-necked phalarope,Data deficient,Yes,Marine birds
Red-shouldered hawk,Increasing,No,Birds of prey
Red-shouldered hawk,Increasing,No,Forest birds
Red-tailed hawk,Increasing,No,Birds of prey
Red-throated loon,Increasing,Yes,Arctic birds
Red-throated loon,Increasing,Yes,Marine birds
Red-winged blackbird,Stable,No,Wetland birds
Redhead,Increasing,Yes,Waterfowl
Redhead,Increasing,Yes,Wetland birds
Rhinoceros auklet,Stable,Yes,Marine birds
Ring-billed gull,Increasing,Yes,Wetland birds
Ring-necked duck,Increasing,Yes,Wetland birds
Ring-necked duck,Increasing,Yes,Waterfowl
Rock ptarmigan,Data deficient,No,Arctic birds
Rock sandpiper,Decreasing,Yes,Shorebirds
Rock sandpiper,Decreasing,Yes,Arctic birds
Rose-breasted grosbeak,Stable,Yes,Long-distance migrants
Rose-breasted grosbeak,Stable,Yes,Forest birds
Roseate tern,Decreasing,Yes,Long-distance migrants
Roseate tern,Decreasing,Yes,Marine birds
